sentiment,text
negative,it's a frankenstein-monster of a film that doesn't know what it wants to be .
positive,"watching this film , one is left with the inescapable conclusion that hitchens' obsession with kissinger is , at bottom , a sophisticated flower child's desire to purge the world of the tooth and claw of human power ."
positive,"it ain't art , by a long shot , but unlike last year's lame musketeer , this dumas adaptation entertains ."
negative,a film with a great premise but only a great premise .
positive,"though the violence is far less sadistic than usual , the film is typical miike : fast , furious and full of off-the-cuff imaginative flourishes ."
negative,"men in black ii has sequel-itis something fierce . an ungainly , comedy-deficient , b-movie rush job . . ."
negative,displays the potential for a better movie than what bailly manages to deliver
negative,"watching trouble every day , at least if you don't know what's coming , is like biting into what looks like a juicy , delicious plum on a hot summer day and coming away with your mouth full of rotten pulp and living worms ."
negative,"there's a little violence and lots of sex in a bid to hold our attention , but it grows monotonous after a while , as do joan and philip's repetitive arguments , schemes and treachery ."
positive,very well written and directed with brutal honesty and respect for its audience .
positive,"it's definitely an improvement on the first blade , since it doesn't take itself so deadly seriously ."
positive,"even if you can't pronounce "" gyro "" correctly , you'll appreciate much of vardalos' humor , which transcends ethnic boundaries ."
negative,"in my own very humble opinion , in praise of love lacks even the most fragmented charms i have found in almost all of his previous works ."
positive,"the film is powerful , accessible and funny . you won't miss its messages , but you'll be entertained as well ."
positive,"it may be a no-brainer , but at least it's a funny no-brainer ."
positive,"see scratch for the history , see scratch for the music , see scratch for a lesson in scratching , but , most of all , see it for the passion ."
positive,"this version's no classic like its predecessor , but its pleasures are still plentiful ."
positive,a remarkably alluring film set in the constrictive eisenhower era about one suburban woman's yearning in the face of a loss that shatters her cheery and tranquil suburban life .
negative,dawdles and drags when it should pop ; it doesn't even have the virtue of enough mindless violence to break up the tedium of all its generational bonding .
positive,"it has charm to spare , and unlike many romantic comedies , it does not alienate either gender in the audience ."
negative,"as pure over-the-top trash , any john waters movie has it beat by a country mile ."
negative,"a preposterous , prurient whodunit ."
positive,"barry convinces us he's a dangerous , secretly unhinged guy who could easily have killed a president because it made him feel powerful ."
negative,"time stands still in more ways that one in clockstoppers , a sci-fi thriller as lazy as it is interminable ."
negative,"[the film's] taste for "" shock humor "" will wear thin on all but those weaned on the comedy of tom green and the farrelly brothers ."
negative,"birot is a competent enough filmmaker , but her story has nothing fresh or very exciting about it ."
positive,it offers a glimpse of the solomonic decision facing jewish parents in those turbulent times : to save their children and yet to lose them .
negative,coppola has made a film of intoxicating atmosphere and little else .
negative,"we never truly come to care about the main characters and whether or not they'll wind up together , and michele's spiritual quest is neither amusing nor dramatic enough to sustain interest ."
positive,the first half bursts with a goofy energy previous disney films only used for a few minutes here and there .
negative,"there are a few laughs and clever sight gags scattered about , but not enough to make this anything more than another big-budget bust ."
positive,"an engrossing story that combines psychological drama , sociological reflection , and high-octane thriller ."
negative,"demme gets a lot of flavor and spice into his charade remake , but he can't disguise that he's spiffing up leftovers that aren't so substantial or fresh ."
positive,"measured against practically any like-themed film other than its oscar-sweeping franchise predecessor the silence of the lambs , red dragon rates as an exceptional thriller ."
positive,i have a new favorite musical -- and i'm not even a fan of the genre
positive,"with a confrontational stance , todd solondz takes aim on political correctness and suburban families ."
positive,[fincher's] camera sense and assured pacing make it an above-average thriller .
negative,enduring love but exhausting cinema .
negative,what we get . . . is caddyshack crossed with the loyal order of raccoons .
negative,a collage of clichs and a dim echo of allusions to other films .
positive,"[while the last metro] was more melodramatic , confined to a single theater company and its strategies and deceptions , while tavernier is more concerned with the entire period of history ."
positive,"unlike most surf movies , blue crush thrillingly uses modern technology to take the viewer inside the wave . by the end you can't help but feel 'stoked . '"
positive,[fessenden] is much more into ambiguity and creating mood than he is for on screen thrills
negative,this stuck pig of a movie flails limply between bizarre comedy and pallid horror .
positive,"' . . . the film's considered approach to its subject matter is too calm and thoughtful for agitprop , and the thinness of its characterizations makes it a failure as straight drama . '"
positive,"though intrepid in exploring an attraction that crosses sexual identity , ozpetek falls short in showing us antonia's true emotions . . . but at the very least , his secret life will leave you thinking ."
positive,"visually imaginative , thematically instructive and thoroughly delightful , it takes us on a roller-coaster ride from innocence to experience without even a hint of that typical kiddie-flick sentimentality ."
positive,"it turns out to be a cut above the norm , thanks to some clever writing and sprightly acting ."
positive,"jaunty fun , with its celeb-strewn backdrop well used ."
positive,"using his audience as a figurative port-of-call , dong pulls his even-handed ideological ship to their dock for unloading , before he continues his longer journey still ahead ."
negative,"movies like this are selling the old european candor , the old wink of 'bold' revelation . but in 2002 , such revelations wilt ."
positive,o ltimo suspeito ganha fora ao tambm funcionar em uma esfera adicional : a do drama familiar .
positive,a different movie -- sometimes tedious -- by a director many viewers would like to skip but film buffs should get to know .
negative,mildly entertaining .
positive,"even during the climactic hourlong cricket match , boredom never takes hold ."
positive,"nair doesn't use [monsoon wedding] to lament the loss of culture . instead , she sees it as a chance to revitalize what is and always has been remarkable about clung-to traditions ."
positive,there are moments of hilarity to be had .
positive,cho's latest comic set isn't as sharp or as fresh as i'm the one that i want . . . but it's still damn funny stuff .
negative,even murphy's expert comic timing and famed charisma can't rescue this effort .
positive,"as the dominant christine , sylvie testud is icily brilliant ."
positive,"engrossing and affecting , if ultimately not quite satisfying ."
positive,"one of those rare films that come by once in a while with flawless amounts of acting , direction , story and pace ."
negative,"pryor lite , with half the demons , half the daring , much less talent , many fewer laughs ."
negative,"slow , dry , poorly cast , but beautifully shot ."
positive,"amazing ! a college story that works even without vulgarity , sex scenes , and cussing !"
negative,the whole mess boils down to a transparently hypocritical work that feels as though it's trying to set the women's liberation movement back 20 years .
negative,"in the end , the movie bogs down in insignificance , saying nothing about kennedy's assassination and revealing nothing about the pathology it pretends to investigate ."
positive,stage director sam mendes showcases tom hanks as a depression era hit-man in this dark tale of revenge .
negative,. . . they missed the boat .
negative,there's a reason why halftime is only fifteen minutes long .
negative,"in a strange way , egoyan has done too much . he's worked too hard on this movie ."
negative,dramatically lackluster .
positive,"an earnest , roughshod document , it serves as a workable primer for the region's recent history , and would make a terrific 10th-grade learning tool ."
negative,"a small fortune in salaries and stunt cars might have been saved if the director , tom dey , had spliced together bits and pieces of midnight run and 48 hours ( and , for that matter , shrek ) ."
negative,director chris eyre is going through the paces again with his usual high melodramatic style of filmmaking .
positive,a rarity among recent iranian films : it's a comedy full of gentle humor that chides the absurdity of its protagonist's plight .
negative,no amount of good intentions is able to overcome the triviality of the story .
positive,"a full experience , a love story and a murder mystery that expands into a meditation on the deep deceptions of innocence ."
positive,"maggie smith as the ya-ya member with the o2-tank will absolutely crack you up with her crass , then gasp for gas , verbal deportment ."
negative,"shot perhaps 'artistically' with handheld cameras and apparently no movie lights by joaquin baca-asay , the low-budget production swings annoyingly between vertigo and opacity ."
positive,"you could say that it's slow at times , you could say that a few of the characters act in ways that real people wouldn't , but one thing you couldn't say is that alias betty is predictable ."
negative,cho's fans are sure to be entertained ; it's only fair in the interest of full disclosure to say that -- on the basis of this film alone -- i'm not one of them .
positive,"while general audiences might not come away with a greater knowledge of the facts of cuban music , they'll be treated to an impressive and highly entertaining celebration of its sounds ."
positive,a psychic journey deep into the very fabric of iranian . . . life .
positive,"a gentle blend of present day testimonials , surviving footage of burstein and his family performing , historical archives , and telling stills ."
negative,it's impossible to even categorize this as a smutty guilty pleasure .
positive,"this is one of the most visually stunning and thematically moving epics in recent memory , and in spite of numerous minor flaws , scorsese's best in more than a decade ."
positive,"dogtown and z-boys more than exposes the roots of the skateboarding boom that would become "" the punk kids' revolution . """
positive,"it is ok for a movie to be something of a sitcom apparatus , if the lines work , the humor has point and the actors are humanly engaged ."
positive,"a sweet-natured reconsideration of one of san francisco's most vital , if least widely recognized , creative fountainheads ."
positive,"( danny huston gives ) an astounding performance that deftly , gradually reveals a real human soul buried beneath a spellbinding serpent's smirk ."
positive,. . . a lesson in prehistoric hilarity .
negative,an overwrought taiwanese soaper about three people and their mixed-up relationship .
negative,"this little film is so slovenly done , so primitive in technique , that it can't really be called animation ."
positive,"not only a reminder of how they used to make movies , but also how they sometimes still can be made ."
negative,"if this silly little cartoon can inspire a few kids not to grow up to be greedy bastards , more power to it ."
positive,compellingly watchable .
positive,"you may leave the theater with more questions than answers , but darned if your toes won't still be tapping ."
negative,"entertains not so much because of its music or comic antics , but through the perverse pleasure of watching disney scrape the bottom of its own cracker barrel ."
negative,"some of seagal's action pictures are guilty pleasures , but this one is so formulaic that it seems to be on auto-pilot ."
positive,this harrowing journey into combat hell vividly captures the chaotic insanity and personal tragedies that are all too abundant when human hatred spews forth unchecked .
positive,"a chance to see three splendid actors turn a larky chase movie into an emotionally satisfying exploration of the very human need to be somebody , and to belong to somebody ."
positive,"this fascinating experiment plays as more of a poetic than a strict reality , creating an intriguing species of artifice that gives the lady and the duke something of a theatrical air ."
positive,the footage of the rappers at play and the prison interview with suge knight are just two of the elements that will grab you .
positive,"an 83 minute document of a project which started in a muddle , seesawed back and forth between controlling interests multiple times , then found its sweet spot"
positive,"it's the chemistry between the women and the droll scene-stealing wit and wolfish pessimism of anna chancellor that makes this "" two weddings and a funeral "" fun ."
negative,blue crush is so prolonged and boring it isn't even close to being the barn-burningly bad movie it promised it would be .
positive,skip work to see it at the first opportunity .
negative,"it's a lot to ask people to sit still for two hours and change watching such a character , especially when rendered in as flat and impassive a manner as phoenix's ."
positive,an old-fashioned drama of substance about a teacher's slide down the slippery slope of dishonesty after an encounter with the rich and the powerful who have nothing but disdain for virtue .
negative,no doubt the star and everyone else involved had their hearts in the right place . where their heads were is anyone's guess .
positive,"the weight of the piece , the unerring professionalism of the chilly production , and the fascination embedded in the lurid topic prove recommendation enough ."
positive,it's probably worth catching solely on its visual merits . if only it had the story to match .
positive,"be prepared to cling to the edge of your seat , tense with suspense . the ring never lets you off the hook ."
negative,equal parts bodice-ripper and plodding costume drama .
positive,the script manages the rare trick of seeming at once both refreshingly different and reassuringly familiar .
positive,davis has filled out his cast with appealing fresh faces .
negative,[sen's] soap opera-ish approach undermines his good intentions .
negative,needed a little less bling-bling and a lot more romance .
positive,the humor and humanity of monsoon wedding are in perfect balance .
positive,moore's performance impresses almost as much as her work with haynes in 1995's safe .
negative,the film never finds its tone and several scenes run too long .
negative,"barely manages for but a few seconds over its seemingly eternal running time to pique your interest , your imagination , your empathy or anything , really , save your disgust and your indifference ."
positive,george clooney proves he's quite a talented director and sam rockwell shows us he's a world-class actor with confessions of a dangerous mind .
positive,the filmmakers' eye for detail and the high standards of performance convey a strong sense of the girls' environment .
negative,"scene-by-scene , things happen , but you'd be hard-pressed to say what or why ."
negative,a frustrating combination of strained humor and heavy-handed sentimentality .
negative,one of those so-so films that could have been much better .
positive,"this cheery , down-to-earth film is warm with the cozy feeling of relaxing around old friends ."
positive,it's a terrific american sports movie and dennis quaid is its athletic heart .
negative,much of the cast is stiff or just plain bad .
negative,the latest vapid actor's exercise to appropriate the structure of arthur schnitzler's reigen .
negative,"if the last man were the last movie left on earth , there would be a toss-up between presiding over the end of cinema as we know it and another night of delightful hand shadows ."
positive,a behind the scenes look at the training and dedication that goes into becoming a world-class fencer and the champion that's made a difference to nyc inner-city youth .
positive,gloriously straight from the vagina .
negative,the film makes a fatal mistake : it asks us to care about a young man whose only apparent virtue is that he is not quite as unpleasant as some of the people in his life .
negative,"plodding , poorly written , murky and weakly acted , the picture feels as if everyone making it lost their movie mojo ."
positive,"longley has constructed a remarkably coherent , horrifically vivid snapshot of those turbulent days ."
positive,"overall , it's a very entertaining , thought-provoking film with a simple message : god is love ."
positive,"like kissing jessica stein , amy's orgasm has a key strength in its willingness to explore its principal characters with honesty , insight and humor ."
positive,"despite the 2-d animation , the wild thornberrys movie makes for a surprisingly cinematic experience ."
negative,. . . irritating soul-searching garbage .
positive,"i'll put it this way : if you're in the mood for a melodrama narrated by talking fish , this is the movie for you ."
negative,"for all the complications , it's all surprisingly predictable ."
positive,"gangster no . 1 is solid , satisfying fare for adults ."
positive,gondry's direction is adequate . . . but what gives human nature its unique feel is kaufman's script .
negative,these characters become wearisome .
negative,a mechanical action-comedy whose seeming purpose is to market the charismatic jackie chan to even younger audiences .
positive,"amy and matthew have a bit of a phony relationship , but the film works in spite of it ."
positive,a joyous occasion
positive,"a gorgeous , high-spirited musical from india that exquisitely blends music , dance , song , and high drama ."
negative,fairly successful at faking some pretty cool stunts but a complete failure at trying to create some pretty cool characters . and forget about any attempt at a plot !
positive,"a wry , affectionate delight ."
negative,"you really have to wonder how on earth anyone , anywhere could have thought they'd make audiences guffaw with a script as utterly diabolical as this ."
positive,"[d]espite its familiar subject matter , ice age is consistently amusing and engrossing . . ."
positive,"' . . . both hokey and super-cool , and definitely not in a hurry , so sit back , relax and have a few laughs while the little ones get a fuzzy treat . '"
negative,"everything about girls can't swim , even its passages of sensitive observation , feels secondhand , familiar -- and not in a good way ."
negative,"twenty-three movies into a mostly magnificent directorial career , clint eastwood's efficiently minimalist style finally has failed him . big time ."
negative,what the four feathers lacks is genuine sweep or feeling or even a character worth caring about .
negative,"despite her relentless vim and winsome facial symmetry , witherspoon is just too dialed-up to be america's sweetheart ."
negative,the film apparently takes place in a fantasy world where people in hotel hallways recite poetry in voice-over instead of speaking to each other .
negative,"true to its animatronic roots : . . . as stiff , ponderous and charmless as a mechanical apparatus . . . 'the country bears' should never have been brought out of hibernation ."
positive,the fact that the rookie is a nearly impeccable cinematic experience -- and a wonderful all-ages triumph besides -- is a miracle akin to the story the film portrays .
positive,"the inspirational screenplay by mike rich covers a lot of ground , perhaps too much , but ties things together , neatly , by the end ."
positive,"an overly familiar scenario is made fresh by an intelligent screenplay and gripping performances in this low-budget , video-shot , debut indie effort ."
positive,"tully is in many ways the perfect festival film : a calm , self-assured portrait of small town regret , love , duty and friendship that appeals to the storytelling instincts of a slightly more literate filmgoing audience ."
negative,the movie fails to live up to the sum of its parts .
negative,"would've been nice if the screenwriters had trusted audiences to understand a complex story , and left off the film's predictable denouement . then nadia's birthday might not have been such a bad day after all ."
positive,but this is not a movie about an inhuman monster ; it's about a very human one .
negative,a negligible british comedy .
negative,"high crimes is a cinematic misdemeanor , a routine crime thriller remarkable only for its lack of logic and misuse of two fine actors , morgan freeman and ashley judd ."
positive,the mothman prophecies is best when illustrating the demons bedevilling the modern masculine journey .
positive,"it's about as convincing as any other arnie musclefest , but has a little too much resonance with real world events and ultimately comes off as insultingly simplistic ."
positive,"when your leading ladies are a couple of screen-eating dominatrixes like goldie hawn and susan sarandon at their raunchy best , even hokum goes down easily ."
negative,it's a bad thing when a movie has about as much substance as its end credits blooper reel .
positive,"a quiet , disquieting triumph ."
positive,"the whole mildly pleasant outing -- the r rating is for brief nudity and a grisly corpse -- remains aloft not on its own self-referential hot air , but on the inspired performance of tim allen ."
positive,"the story that emerges has elements of romance , tragedy and even silent-movie comedy ."
positive,"watching this film , what we feel isn't mainly suspense or excitement . the dominant feeling is something like nostalgia ."
positive,"a headline-fresh thriller set among orthodox jews on the west bank , joseph cedar's time of favor manages not only to find a compelling dramatic means of addressing a complex situation , it does so without compromising that complexity ."
negative,there is more than one joke about putting the toilet seat down . and that should tell you everything you need to know about all the queen's men .
negative,. . . a confusing drudgery .
negative,"a determined , ennui-hobbled slog that really doesn't have much to say beyond the news flash that loneliness can make people act weird ."
positive,the film's snags and stumblings are more than compensated for by its wryly subversive tone .
negative,"ken russell would love this . in one scene , we get a stab at soccer hooliganism , a double-barreled rip-off of quentin tarantino's climactic shootout  and meat loaf explodes ."
negative,"a free-for-all of half-baked thoughts , clumsily used visual tricks and self-indulgent actor moments ."
positive,"a brisk , reverent , and subtly different sequel ."
negative,resurrection has the dubious distinction of being a really bad imitation of the really bad blair witch project .
negative,"the merchant-ivory team continues to systematically destroy everything we hold dear about cinema , only now it's begun to split up so that it can do even more damage ."
negative,eh .
positive,offers a breath of the fresh air of true sophistication .
negative,the structure the film takes may find matt damon and ben affleck once again looking for residuals as this officially completes a good will hunting trilogy that was never planned .
negative,"never having seen the first two films in the series , i can't compare friday after next to them , but nothing would change the fact that what we have here is a load of clams left in the broiling sun for a good three days ."
negative,"though clearly well-intentioned , this cross-cultural soap opera is painfully formulaic and stilted ."
positive,"triple x is a double agent , and he's one bad dude . when you've got the wildly popular vin diesel in the equation , it adds up to big box office bucks all but guaranteed ."
positive,. . . breathes surprising new life into the familiar by amalgamating genres and adding true human complexity to its not-so-stock characters .
negative,disney again ransacks its archives for a quick-buck sequel .
negative,"no worse than a lot of the crap we've been offered this summer , and slightly better than men in black 2 as far as slapdash extraterrestrial comedies go ."
positive,"a crisp psychological drama [and] a fascinating little thriller that would have been perfect for an old "" twilight zone "" episode ."
negative,"a huge disappointment coming , as it does , from filmmakers and performers of this calibre"
negative,"too slow for a younger crowd , too shallow for an older one ."
positive,delivers more than its fair share of saucy hilarity .
positive,ong's promising debut is a warm and well-told tale of one recent chinese immigrant's experiences in new york city .
positive,"as they used to say in the 1950s sci-fi movies , signs is a tribute to shyamalan's gifts , which are such that we'll keep watching the skies for his next project ."
positive,showtime is a fine-looking film with a bouncy score and a clutch of lively songs for deft punctuation .
positive,"one of the best films i have ever seen , constantly pulling the rug from underneath us , seeing things from new sides , plunging deeper , getting more intense ."
negative,"too stagey , talky -- and long -- for its own good ."
negative,a reality-snubbing hodgepodge .
positive,"passions , obsessions , and loneliest dark spots are pushed to their most virtuous limits , lending the narrative an unusually surreal tone ."
negative,"when you resurrect a dead man , hard copy should come a-knocking , no ?"
positive,a glib but bouncy bit of sixties-style slickness in which the hero might wind up caught but the audience gets pure escapism .
positive,it was only a matter of time before some savvy producer saw the potential success inherent in the mixture of bullock bubble and hugh goo .
negative,"the film was produced by jerry bruckheimer and directed by joel schumacher , and reflects the worst of their shallow styles : wildly overproduced , inadequately motivated every step of the way and demographically targeted to please every one ( and no one ) ."
positive,"the film's constant mood of melancholy and its unhurried narrative are masterfully controlled . but  in trying to capture the novel's deeper intimate resonances , the film has  ironically - distanced us from the characters ."
positive,"hashiguchi covers this territory with wit and originality , suggesting that with his fourth feature -- the first to be released in the u . s . -- a major director is emerging in world cinema ."
negative,"the film's trailer also looked like crap , so crap is what i was expecting ."
positive,"a gently funny , sweetly adventurous film that makes you feel genuinely good , that is to say , entirely unconned by false sentiment or sharp , overmanipulative hollywood practices ."
negative,alarms for duvall's throbbing sincerity and his elderly propensity for patting people while he talks .
negative,"if hill isn't quite his generation's don siegel ( or robert aldrich ) , it's because there's no discernible feeling beneath the chest hair ; it's all bluster and clich ."
negative,"by the end of it all i sort of loved the people onscreen , even though i could not stand them . perhaps the film should be seen as a conversation starter . it's not an easy one to review ."
negative,execrable .
positive,"the stunning , dreamlike visuals will impress even those viewers who have little patience for euro-film pretension ."
positive,"a deftly entertaining film , smartly played and smartly directed ."
positive,a portrait of an artist .
negative,one of those films that seems tailor made to air on pay cable to offer some modest amusements when one has nothing else to watch .
negative,anyone who gets chills from movies with giant plot holes will find plenty to shake and shiver about in 'the ring . '
positive,"tully is worth a look for its true-to-life characters , its sensitive acting , its unadorned view of rural life and the subtle direction of first-timer hilary birmingham ."
positive,there's plenty to enjoy -- in no small part thanks to lau .
positive,"we need [moore's] noisy , cocky energy , his passion and class consciousness ; we need his shticks , we need his stones ."
positive,perhaps the best sports movie i've ever seen .
negative,"adroit but finally a trifle flat , mad love doesn't galvanize its outrage the way , say , jane campion might have done , but at least it possesses some ."
negative,"i still can't relate to stuart : he's a mouse , for cryin' out loud , and all he does is milk it with despondent eyes and whine that nobody treats him human enough ."
negative,no reason for anyone to invest their hard-earned bucks into a movie which obviously didn't invest much into itself either .
positive,it ultimately stands forth as an important chronicle of the abuses of one of latin america's most oppressive regimes .
negative,"there are a few chuckles , but not a single gag sequence that really scores , and the stars seem to be in two different movies ."
negative,the most ill-conceived animated comedy since the 1991 dog rover dangerfield .
negative,shot like a postcard and overacted with all the boozy self-indulgence that brings out the worst in otherwise talented actors . . .
positive,"300 years of russian history and culture compressed into an evanescent , seamless and sumptuous stream of consciousness ."
negative,"while some of the camera work is interesting , the film's mid-to-low budget is betrayed by the surprisingly shoddy makeup work ."
positive,schnitzler does a fine job contrasting the sleekness of the film's present with the playful paranoia of the film's past .
positive,"drawing on an irresistible , languid romanticism , byler reveals the ways in which a sultry evening or a beer-fueled afternoon in the sun can inspire even the most retiring heart to venture forth ."
negative,"these self-styled athletes have banged their brains into the ground so frequently and furiously , their capacity to explain themselves has gone the same way as their natural instinct for self-preservation ."
positive,"to some eyes this will seem like a recycling of clichs , an assassin's greatest hits . to others , it will remind them that hong kong action cinema is still alive and kicking ."
negative,"the vintage is pure '87 , with a halfhearted twist on its cautionary message : fatal attraction = don't have an affair with a nutjob ; unfaithful = don't if you're married to one ."
positive,the plot is so amusingly contrived and outlandish in its coincidences that no one could ever mistake it for anything resembling reality
positive,kinnear's performance is a career-defining revelation .
positive,eric byler's nuanced pic avoids easy sentiments and explanations . . .
positive,"a very witty take on change , risk and romance , and the film uses humour to make its points about acceptance and growth ."
positive,"like many western action films , this thriller is too loud and thoroughly overbearing , but its heartfelt concern about north korea's recent past and south korea's future adds a much needed moral weight ."
negative,"it almost plays like solaris , but with guns and jokes ."
negative,"with more character development this might have been an eerie thriller ; with better payoffs , it could have been a thinking man's monster movie ."
positive,"there's a disreputable air about the whole thing , and that's what makes it irresistible ."
negative,"the film is grossly contradictory in conveying its social message , if indeed there is one ."
negative,"enthusiastically taking up the current teen movie concern with bodily functions , walt becker's film pushes all the demographically appropriate comic buttons ."
negative,"christians sensitive to a reductionist view of their lord as a luv-spreading dr . feelgood or omnipotent slacker will feel vastly more affronted than secularists , who might even praise god for delivering such an instant camp classic ."
positive,"it's a wise and powerful tale of race and culture forcefully told , with superb performances throughout ."
negative,"woody , what happened ?"
positive,adaptation's success in engaging the audience in the travails of creating a screenplay is extraordinary .
positive,uses high comedy to evoke surprising poignance .
negative,"a mediocre exercise in target demographics , unaware that it's the butt of its own joke ."
negative,"this is a poster movie , a mediocre tribute to films like them !"
positive,"parts seem like they were lifted from terry gilliam's subconscious , pressed through kafka's meat grinder and into buuel's casings"
negative,"despite an impressive roster of stars and direction from kathryn bigelow , the weight of water is oppressively heavy ."
negative,all the movie's narrative gymnastics can't disguise the fact that it's inauthentic at its core and that its story just isn't worth telling .
negative,"on a cutting room floor somewhere lies . . . footage that might have made no such thing a trenchant , ironic cultural satire instead of a frustrating misfire ."
negative,"it all unfolds predictably , and the adventures that happen along the way seem repetitive and designed to fill time , providing no real sense of suspense ."
negative,nothing about this movie works .
negative,mindless and boring martial arts and gunplay with too little excitement and zero compelling storyline .
negative,the good thing -- the only good thing -- about extreme ops is that it's so inane that it gave me plenty of time to ponder my thanksgiving to-do list .
negative,"it does nothing new with the old story , except to show fisticuffs in this sort of stop-go slow motion that makes the gang rumbles look like they're being streamed over a 28k modem ."
negative,a great ensemble cast can't lift this heartfelt enterprise out of the familiar .
positive,ofrece una buena oportunidad de cultura ( aunque sea condensada ) que bien vale la pena aprovechar .
positive,manages to be wholesome and subversive at the same time .
positive,certainly the performances are worthwhile .
positive,"the french are rather good at this kind of thing , unlike the americans , who have a passion for musketeers , only to spoof them ."
negative,"there's an epic here , but you have to put it together yourself ."
positive,"a comedy that is warm , inviting , and surprising ."
positive,"while its careful pace and seemingly opaque story may not satisfy every moviegoer's appetite , the film's final scene is soaringly , transparently moving ."
negative,"like a can of 2-day old coke . you can taste it , but there's no fizz ."
positive,"think of it as gidget , only with muscles and a lot more smarts , but just as endearing and easy to watch ."
negative,"while it's genuinely cool to hear characters talk about early rap records ( sugar hill gang , etc . ) , the constant referencing of hip-hop arcana can alienate even the savviest audiences ."
positive,"the farcical elements seemed too pat and familiar to hold my interest , yet its diverting grim message is a good one ."
positive,"most thrillers send audiences out talking about specific scary scenes or startling moments ; "" frailty "" leaves us with the terrifying message that the real horror may be waiting for us at home ."
negative,"the plot is plastered with one hollywood cliche after another , most of which involve precocious kids getting the better of obnoxious adults ."
positive,heaven is a haunting dramatization of a couple's moral ascension .
positive,"a compelling , moving film that respects its audience and its source material ."
negative,"watching queen of the damned is like reading a research paper , with special effects tossed in ."
negative,"it's hard to imagine any recent film , independent or otherwise , that makes as much of a mess as this one ."
positive,"as blunt as it is in depicting child abuse , el bola is a movie steeped in an ambiguity that lends its conflicts a symbolic resonance ."
negative,so devoid of any kind of intelligible story that it makes films like xxx and collateral damage seem like thoughtful treatises
positive,"the emperor's club , ruthless in its own placid way , finds one of our most conservative and hidebound movie-making traditions and gives it new texture , new relevance , new reality ."
positive,"while not quite "" shrek "" or monsters , inc . "" , it's not too bad . it's worth taking the kids to ."
positive,the best of the pierce brosnan james bond films to date .
positive,offers a clear-eyed chronicle of a female friendship that is more complex and honest than anything represented in a hollywood film .
negative,a rehash of every gangster movie from the past decade .
negative,opera on film is never satisfactory . the art demands live viewing . the innate theatrics that provide its thrills and extreme emotions lose their luster when flattened onscreen .
positive,a true-blue delight .
positive,"enjoyably dumb , sweet , and intermittently hilarious -- if you've a taste for the quirky , steal a glimpse ."
negative,"schnitzler's film has a great hook , some clever bits and well-drawn , if standard issue , characters , but is still only partly satisfying ."
negative,"one big blustery movie where nothing really happens . when it comes out on video , then it's the perfect cure for insomnia ."
positive,"impresses as a skillfully assembled , highly polished and professional adaptation . . . just about as chilling and unsettling as 'manhunter' was ."
positive,horns and halos benefits from serendipity but also reminds us of our own responsibility to question what is told as the truth .
negative,"as an actor , the rock is aptly named ."
negative,a poky and pseudo-serious exercise in sham actor workshops and an affected malaise .
negative,ordinary melodrama that is heavy on religious symbols but wafer-thin on dramatic substance
negative,a characteristically engorged and sloppy coming-of-age movie .
positive,a winning and wildly fascinating work .
negative,"one long , numbing action sequence made up mostly of routine stuff yuen has given us before ."
negative,what ultimately makes windtalkers a disappointment is the superficial way it deals with its story .
negative,"its over-reliance on genre conventions , character types and formulaic conflict resolutions crushes all the goodwill it otherwise develops ."
negative,"first-time writer-director dylan kidd also has a good ear for dialogue , and the characters sound like real people ."
negative,"if this is the danish idea of a good time , prospective tourists might want to consider a different destination -- some jolly country embroiled in a bloody civil war , perhaps ."
negative,fails so fundamentally on every conventional level that it achieves some kind of goofy grandeur .
negative,"when not wallowing in its characters' frustrations , the movie is busy contriving false , sitcom-worthy solutions to their problems ."
negative,its appeal will probably limited to lds church members and undemanding armchair tourists .
negative,godawful boring slug of a movie .
positive,"de oliveira creates an emotionally rich , poetically plump and visually fulsome , but never showy , film whose bittersweet themes are reinforced and brilliantly personified by michel piccoli ."
positive,"one of the pleasures in walter's documentary . . . is the parade of veteran painters , confounded dealers , and miscellaneous bohos who expound upon the subject's mysterious personality without ever explaining him ."
negative,"the story is familiar from its many predecessors ; like them , it eventually culminates in the not-exactly -stunning insight that crime doesn't pay ."
negative,"after seeing swept away , i feel sorry for madonna ."
positive,"a thoughtful , provocative , insistently humanizing film ."
negative,punitively affirmational parable .
negative,it's sweet . . . but just a little bit too precious at the start and a little too familiar at the end .
negative,"a sham construct based on theory , sleight-of-hand , and ill-wrought hypothesis ."
positive,"at its best , the good girl is a refreshingly adult take on adultery . . ."
positive,it reaffirms life as it looks in the face of death .
positive,it seems like i have been waiting my whole life for this movie and now i can't wait for the sequel .
positive,"es una de esas pelculas de las que uno sale reconfortado , agradecido , genuinamente sorprendido ."
positive,"there's a great deal of corny dialogue and preposterous moments . and yet , it still works ."
negative,"the lower your expectations , the more you'll enjoy it ."
negative,they takes a long time to get to its gasp-inducing ending .
negative,the only thing i laughed at were the people who paid to see it .
negative,"the characters , cast in impossibly contrived situations , are totally estranged from reality ."
negative,it's loud and boring ; watching it is like being trapped at a bad rock concert .
positive,"[raimi's] matured quite a bit with spider-man , even though it's one of the most plain white toast comic book films you'll ever see ."
positive,yakusho and shimizu . . . create engaging characterizations in imamura's lively and enjoyable cultural mix .
